Ref,Val,Package,PosX,PosY,Rot,Side
"J5","Conn_01x02_Pin","GCT_BC070-02-A-1-L-C_REVD1_TOP",450.000000,-198.000000,180.000000,bottom
"J6","Conn_01x02_Pin","GCT_BC070-02-A-1-L-C_REVD1_TOP",450.000000,-178.000000,180.000000,bottom
"C1","10u","CAP_CL31A_SAM",510.000000,-225.000000,90.000000,top
"C2","10u","CAP_CL31A_SAM",460.000000,-225.000000,90.000000,top
"C3","10u","CAP_CL31A_SAM",485.000000,-225.000000,90.000000,top
"C4","10u","CAP_CL31A_SAM",512.500000,-225.026800,90.000000,top
"C5","10u","CAP_CL31A_SAM",462.500000,-225.000000,90.000000,top
"C6","10u","CAP_CL31A_SAM",487.500000,-225.000000,90.000000,top
"C7","10u","CAP_CL31A_SAM",515.000000,-225.026800,90.000000,top
"C8","10u","CAP_CL31A_SAM",465.000000,-224.973200,90.000000,top
"C9","10u","CAP_CL31A_SAM",490.000000,-224.973200,90.000000,top
"C10","10u","CAP_CL31A_SAM",517.500000,-225.000000,90.000000,top
"C11","10u","CAP_CL31A_SAM",467.500000,-225.026800,90.000000,top
"C12","10u","CAP_CL31A_SAM",492.500000,-224.973200,90.000000,top
"C13","10u","CAP_CL31A_SAM",520.000000,-225.000000,90.000000,top
"C14","10u","CAP_CL31A_SAM",470.000000,-225.026800,90.000000,top
"C15","10u","CAP_CL31A_SAM",495.000000,-225.000000,90.000000,top
"C16","10u","CAP_CL31A_SAM",522.500000,-224.973200,90.000000,top
"C17","10u","CAP_CL31A_SAM",472.500000,-224.973200,90.000000,top
"C18","10u","CAP_CL31A_SAM",497.500000,-225.000000,90.000000,top
"C19","10u","CAP_CL31A_SAM",525.000000,-225.000000,90.000000,top
"C20","10u","CAP_CL31A_SAM",475.000000,-224.973200,90.000000,top
"C21","10u","CAP_CL31A_SAM",500.000000,-225.000000,90.000000,top
"C22","10u","CAP_CL31A_SAM",527.500000,-225.000000,90.000000,top
"C23","10u","CAP_CL31A_SAM",477.500000,-224.973200,90.000000,top
"C24","10u","CAP_CL31A_SAM",502.500000,-225.000000,90.000000,top
"C25","10u","CAP_CL31A_SAM",480.000000,-224.973200,90.000000,top
"C26","10u","CAP_CL31A_SAM",505.000000,-225.000000,90.000000,top
"C27","10u","CAP_CL31A_SAM",482.500000,-225.000000,90.000000,top
"C28","10u","CAP_CL31A_SAM",507.500000,-225.000000,90.000000,top
"C37","10uF,50V","CAP_CL31A_SAM",484.973200,-207.500000,0.000000,top
"C38","10uF,50V","CAP_CL31A_SAM",508.473200,-207.500000,0.000000,top
"C39","100nF","CAPC2012X70",492.500000,-310.000000,0.000000,top
"C40","100nF","CAPC2012X70",487.500000,-312.000000,0.000000,top
"C41","100nF","CAPC2012X70",492.500000,-315.000000,0.000000,top
"C42","100nF","CAPC2012X70",487.500000,-317.000000,0.000000,top
"C43","47pF","CAPC2013X70N",432.500000,-287.450000,180.000000,top
"C44","10pF","CAP_CL21_SAM",500.000000,-310.000000,90.000000,top
"C45","47pF","CAPC2013X70N",462.500000,-287.500000,0.000000,top
"C46","10pF","CAP_CL21_SAM",500.000000,-315.000000,0.000000,top
"C47","22uF,25V","CAP_CL_21_SAM",407.500000,-309.950000,0.000000,top
"C48","22uF,25V","CAP_CL_21_SAM",412.500000,-317.450000,0.000000,top
"C49","22uF, 25V","CAP_CL_21_SAM",407.500000,-314.950000,0.000000,top
"C50","22uF, 25V","CAP_CL_21_SAM",412.500000,-322.450000,0.000000,top
"C51","22uF,25V","CAP_CL_21_SAM",407.500000,-319.950000,180.000000,top
"C52","22uF,25V","CAP_CL_21_SAM",412.500000,-312.450000,0.000000,top
"C53","100nF","CAPC2012X70",492.500000,-320.000000,0.000000,top
