Benchmark,Frequency,Speed_Type,Area
UART_RX_100MHtz_fast_area,100,_fast_,514.710
UART_RX_100MHtz_fast_hvt_area,100,_fast_,515.052
UART_RX_100MHtz_fast_lvt_area,100,_fast_,515.052
UART_RX_100MHtz_slow_area,100,_slow_,515.394
UART_RX_100MHtz_slow_hvt_area,100,_slow_,519.498
UART_RX_100MHtz_slow_lvt_area,100,_slow_,515.052
UART_RX_400MHtz_fast_area,400,_fast_,524.628
UART_RX_400MHtz_fast_hvt_area,400,_fast_,518.472
UART_RX_400MHtz_fast_lvt_area,400,_fast_,491.796
UART_RX_400MHtz_slow_area,400,_slow_,525.996
UART_RX_400MHtz_slow_hvt_area,400,_slow_,528.390
UART_RX_400MHtz_slow_lvt_area,400,_slow_,526.338
UART_100MHtz_fast_area,100,_fast_,777.024
UART_100MHtz_fast_hvt_area,100,_fast_,777.366
UART_100MHtz_fast_lvt_area,100,_fast_,777.366
UART_100MHtz_slow_area,100,_slow_,778.050
UART_100MHtz_slow_hvt_area,100,_slow_,782.838
UART_100MHtz_slow_lvt_area,100,_slow_,777.366
UART_400MHtz_fast_area,400,_fast_,786.258
UART_400MHtz_fast_hvt_area,400,_fast_,780.786
UART_400MHtz_fast_lvt_area,400,_fast_,753.426
UART_400MHtz_slow_area,400,_slow_,788.310
UART_400MHtz_slow_hvt_area,400,_slow_,791.046
UART_400MHtz_slow_lvt_area,400,_slow_,788.994
FADD_100MHtz_fast_area,100,_fast_,5188.482
FADD_100MHtz_fast_hvt_area,100,_fast_,5403.258
FADD_100MHtz_fast_lvt_area,100,_fast_,5170.698
FADD_100MHtz_slow_area,100,_slow_,8013.761
FADD_100MHtz_slow_hvt_area,100,_slow_,8027.561
FADD_100MHtz_slow_lvt_area,100,_slow_,5833.135
FADD_400MHtz_fast_area,400,_fast_,5188.482
FADD_400MHtz_fast_hvt_area,400,_fast_,5403.258
FADD_400MHtz_fast_lvt_area,400,_fast_,5170.698
FADD_400MHtz_slow_area,400,_slow_,5157.702
FADD_400MHtz_slow_hvt_area,400,_slow_,8027.561
FADD_400MHtz_slow_lvt_area,400,_slow_,5833.135
c6288_100MHtz_fast_area,100,_fast_,2327.994
c6288_100MHtz_fast_hvt_area,100,_fast_,2327.994
c6288_100MHtz_fast_lvt_area,100,_fast_,2327.994
c6288_100MHtz_slow_area,100,_slow_,2327.994
c6288_100MHtz_slow_hvt_area,100,_slow_,2327.994
c6288_100MHtz_slow_lvt_area,100,_slow_,2327.994
c6288_400MHtz_fast_area,400,_fast_,2327.994
c6288_400MHtz_fast_hvt_area,400,_fast_,2327.994
c6288_400MHtz_fast_lvt_area,400,_fast_,2327.994
c6288_400MHtz_slow_area,400,_slow_,2327.994
c6288_400MHtz_slow_hvt_area,400,_slow_,2327.994
c6288_400MHtz_slow_lvt_area,400,_slow_,2327.994
FIR_filter_100MHtz_fast_area,100,_fast_,5074.254
FIR_filter_100MHtz_fast_hvt_area,100,_fast_,5075.622
FIR_filter_100MHtz_fast_lvt_area,100,_fast_,5075.964
FIR_filter_100MHtz_slow_area,100,_slow_,5076.306
